country,year,age_group,flf0
aus,2018,45_49,665.052000
aus,2018,50_54,605.783300
aus,2018,55_59,503.841900
aus,2018,60_64,296.732100
aus,2018,65,140.642200
aus,2018,total_15,5679.937000
aus,2019,15_19,421.310400
aus,2019,20_24,591.989600
aus,2019,25_29,621.038100
aus,2019,30_34,622.900100
aus,2019,35_39,608.110800
aus,2019,40_44,608.185900
aus,2019,45_49,677.209500
aus,2019,50_54,602.570900
aus,2019,55_59,510.159900
aus,2019,60_64,303.425600
aus,2019,65,144.721100
aus,2019,total_15,5711.622000
aus,2020,15_19,423.888600
aus,2020,20_24,590.608300
aus,2020,25_29,617.954000
aus,2020,30_34,625.110400
aus,2020,35_39,620.640300
aus,2020,40_44,606.238400
aus,2020,45_49,681.664000
aus,2020,50_54,604.867600
aus,2020,55_59,513.324400
aus,2020,60_64,309.764300
aus,2020,65,148.994400
aus,2020,total_15,5743.055000
aut,2010,15_19,90.140630
aut,2010,20_24,181.576700
aut,2010,25_29,224.724500
aut,2010,30_34,216.030700
aut,2010,35_39,250.029000
aut,2010,40_44,299.831900
aut,2010,45_49,295.155900
aut,2010,50_54,234.292000
